language,enjoyment,asses,age,gender,education,comments,problems,fairprice,exptid,workerid
English,0,Yes,31,Female,3,,no,3.50,1,e3daf1a4eb97cf4a53872df284079447
English,2,Yes,69,Male,4,good study,no,3,1,dbbe8db5c6a5d9aac109ce59afce86dd
english,0,Yes,34,Male,2,,Your progress bar is a bit broken. Once it gets to the second character you're already at 100% and then the progress bar keeps going and going.,3,1,b24bf800b30cf6654754e98c12bd6837
English,2,Yes,31,Male,3,I have no further comments.,No.,2.25,1,c7ce2f3ccc4941715b9effe8b242d066
English,2,Yes,46,Male,2,none,none,3,1,9b78255ad138d56f1a71e84c9cdac66e
English,1,Yes,32,Male,3,It was difficult to think of objects that fit the descriptions given,progress bar inaccurate,5.00,1,4cd1c73eb2ff674d52d91852c780e72c
English,1,Yes,41,Female,4,,no issues,2.50,1,cf51fcd501069d88a98f8174a84d265f
English,2,Yes,51,Male,2,Thanks good luck with your work,NO,2.50,1,9020fd11a934547e07e7e8bb0da83667
English,2,Yes,37,Male,3,The hit was engaging all the way through.,No,2.25,1,8060ae834355c031080391bec53f8b77
Spanish,2,Confused,36,Male,3,,when entering one of the items I entered the comma and a space to separate multiple items and it did not pass so I left only one option,2.25,1,abdae60501199f4100a92fd2d8c3701d
English,2,Yes,29,Male,2,,,2.25,1,0e1b6bc9c6f10df64c90bf816a724142
English,2,Confused,30,Female,3,,"I was confused when it asked me about the store, I didn't realize I needed to put some kind of name (like Walmart) so  I put the same. I would put Walmart everywhere.",3.00,1,a0982a9b7e8502969b40cbe54ea3cde1
English,1,Yes,23,Female,3,,It was incredibly difficult to think of items for Bear and Cubert. May have just been a personal issue but many seemed unreasonable.,3,2,126331a60a75230ceef87105956034ac
English,2,Yes,51,Female,3,,Comma list should allow spaces. That was annoying to figure out. ,yes,2,a239baebf79fd0756f9fd5b6f6044f73
English,1,Yes,34,Other,2,,No.,4,2,bd09e26e650d7d066b46c48483053b77
English,1,Yes,45,Male,3,"NA",none,3,2,4224e7ac7ac6a05ec38c480bb930ec50
English,2,Yes,34,Male,3,,Nope!,3,2,2f8662fabfcd22c49828ab51afcace8f
english,2,Yes,29,Female,4,,no,yes,2,c7be3bfd66a12fcf07bc539d4b882a3f
English,1,Yes,30,Female,2,,No,Yes,2,001b60734c406a02d480b5bf847e5472
English,2,Yes,39,Female,3,,no,3,2,c9692c10b7234e628c6eb2b7c5bb958d
english,1,Yes,48,Female,3,,,3.00,2,9a6935597ac33266950187e47b73fbd8
English,1,Yes,60,Male,2,,no,3.00,2,2670f6977e202358dace953088f5543e
English,2,Yes,31,Male,2,"Very interesting hit, like a nicely paid puzzle. Hope it wasn't an issue I used the same item a few times, didn't notice anything about that in the rules and they fit. Like a television could be both $100 and $600 easily. The heavy but cheap was more difficult than expensive but light. For the reciept section it was tempting to say department store for everything since it could almost always be Walmart any for some of those price ranges it's hard to imagine fitting the things into the budget, like even cheap things at a furniture store are still quite expensive. Thanks! ",,2,2,dc77068f92d229147e4915161af1dfb3
English,2,Yes,24,Male,1,,,3.30,2,02bab3ec48098ca54dc98a6cd152e014
english,2,Yes,40,Male,3,cool beans ,none,3,2,935f11b3a7dfc5cd58a8361ed0cf0a3d
English,2,Yes,30,Female,2,No additional comments,Noe,3.00,2,77d8d76e5cc386d1a90ff52099cf7254
eng,2,Yes,59,Female,2,"no problems found, thanks",no,yes,2,479ca61fed82b788c1c6cedba01a2d03
Engish,2,Yes,61,Female,2,Interesting and different HIT,No,4.00,2,73d3ce516cbaed837b4ae5dce37139c7
english,1,Yes,70,Male,3,no,no,yes,2,346822b91fd396d6a2a284aefaafb0cf
English,2,Yes,39,Male,3,I really enjoyed this HIT and look forward to seeing more like this.,No bugs that I'm aware of.,3.00,2,cf186cfde3569b4a0885703d5f1f6cd1
English,1,Yes,35,Male,4,,no,"meh, better than a lot of people",2,3ffab523d4d52dbfcfce1b6662664c13
english,1,Yes,29,Male,3,,,3.00,2,0a95d9bc2e1e37ae51c62067c44a4aaa
English,2,Yes,29,Male,3,Thanks!,,3.00,2,fcfea5003f5de6defb066291a35b8824
English,2,Yes,36,Male,3,,,3,2,93389606aae8bf22d94f54b774875a70
english,1,Yes,37,Female,1,,no,3.00,2,093dbee68b5dc534570e6f38e9f0d982
English,1,No,31,Male,4,,It was difficult to figure out how to format the one answer requiring multiple items.,Yes,2,44cb39428375a7c8e7f1c9466edb8283
English,1,Yes,31,Female,2,"The experiment took more time than I had anticipated, but I gave my best and honest answers. Thank you",no,5.00,2,4c9160685a53ecae90941bfac01760cd
English,1,Yes,53,Male,4,I thought that the HIT required a lot of thinking in order to provide reasonable answers - which made the HIT require closer to 30 minutes instead of 15 minutes.  I think that $5.00 is a more reasonable wage based on the length of time required for this HIT.,There were no problems or bugs,5.00,2,a4c19b519fc8d894149a76fa4f9a1320
English ,2,Yes,27,Male,3,,,,2,cce03434be99d1868fbedc2413493994
English,2,Yes,61,Female,3,,no,3.0,2,c17ce90cd3a8845bcb219d8ecc599815
English,1,Yes,39,Male,3,,No,3.00,2,c0ddfe5ff137fd2a0cd08b18118a74dc
English,2,Yes,38,Male,3,n/a- thanks,no,3.00,2,731051a2d160b49245afa741c816e5f0
english,2,Yes,56,Male,2,,No,3.00,2,abd4b5a1c129e931e403cbb108d1b32c
English,2,Yes,58,Female,4,I would have liked more time.,"No, just coming up with the answers were a problem!",yes,2,f94ddbaaee60319fc33d5d535f4b5b35
english,2,Yes,24,Male,3,,no,3.00,2,7cec44d253d319bb096bad7a962be617
English,2,Yes,51,Female,3,"Interesting and different, enjoyed thinking the options out.","no issues, ran well.",Yes very fair,2,ca83b81ed41372af7519fa39de82be0f
English,0,Yes,72,Male,3,"I put Worse than the Average HIT above because this kind of HIT was *entirely* new to me. I have a VERY small place without too many possessions, so it was hard for me to understand what normal people might have in their home or buy for it.

This HIT was quite the challenge!! :)

THANK YOU for the work!!",no,3,2,f55da18d59ded963bcda63b8b47ba5bb
English,1,Yes,30,Male,1,none,none,4,2,6e7f3cf507c97759bd0f5af220862fec
English,1,Yes,30,Female,3,,no,yeah,2,e84bb0da21a097dbf7f2e006dcd173ce
English,1,Yes,30,Female,4,n/a,no,4,2,55f96cf5959bead5dfe4c5a45efe42f9
English,1,Yes,49,Male,3,,None,$4,2,e174cde5512b549b13b78a7566f3f6bf
english,1,Yes,40,Male,1,none,none,3,2,d902a6260d71448e976d19caaf5fd66c
English,2,Yes,27,Male,2,"I would enjoy doing this again, it was a fun task to think of items that fit right",No,Yes,2,bbfd89f42eb250d60b79c186a4a1be28
English,2,Yes,26,Female,3,I thought this was pretty fun. Challenged my brain.,"Nope, it went smooth.",3,2,7d30c563d3cac62c93159f8df0ad0f99
English,2,Yes,30,Male,1,Good hit but took me longer than 15min to think of good answers.,N/A,Sort of.,2,4cb50842725e8da92fd5db55081ffc27
English,1,Yes,38,Female,3,,No,4,2,d2134995d69866e19d122c918847344e
english,2,Yes,53,Female,2,Fun hit. :),no,3.00,2,9d5a1cb3b748182fe242fc10d6a97a9c
English,2,Yes,24,Female,4,Interesting study,no,5.00,2,612053571260d38389ccfc997a5f41d0
English,2,Yes,58,Male,3,,no,3.00,2,c0f8634865acf2d9d2f3b94dcb0f2379
English,0,Yes,36,Male,3,"It was somewhat difficult to give the proper name of the retail stores in the Cubert section of the task. For instance, I would have liked to have entered sporting goods for a certain entry and I could not.","No, I did not encounter any problems in the experiment.",$3.00,2,25b7af22cd305538d8fbf0c4e850e15e
English,1,Yes,28,Male,1,,No,"I don't think it was worth the amount of time I spent, but I also tried to overthink my choices a lot so it's largely my own fault.",2,95858ba331f96bee2130c1e44736dc74
English,1,No,22,Male,2,,no,$4.50,2,65700a71c2fccb6d6a919aece74ac8f5
English,2,Yes,30,Male,2,,,3,2,9a03393331bd675d16172d2bbf76232b
English,1,Yes,36,Male,3,,I had no problems,Yes,2,e7efac6f51938aa7ef4d32c6781b1218
english,2,Yes,27,Male,1,,no,3,2,25b9a32b1704b70eba9a8878ad421d98
English,2,Yes,32,Female,3,,no,4,2,aaa448dbf55cd5a776de97c8891939fb
english,1,Yes,42,Male,2,,no,yes,2,bd69e5625a1a0f00e39f37709db1bb40
english,1,Yes,26,Male,3,,no,5,2,c91c0aaa80ac15df8a7a9ed3d02eba5a
English,2,Yes,62,Female,-1,It was very different and interesting,None,3,2,14b6009e2af4f2757c43414efc5a7001
English,2,Yes,59,Male,3,fun,no,2.5,2,990e20c78f3ee498b3cb74783ff82b0a
English,2,Yes,24,Male,3,,no problems at all!,3,2,8ac2132b17c5cbfcd1b27079ca491456
English,0,Confused,26,Male,1,,,5,2,170bb35b4c5732dd0525876267554c42
English,0,Confused,41,Female,1,I was rather frustrated trying to come up with things at most of those price points.,No,3,2,288d1f5467e1b424bf2b9a348655263e
English,2,No,27,Male,2,,,3,2,b68cfd76ec5fd89c82e4f8a756bcdb8d
English,0,Yes,26,Female,2,I think it was really hard to think of items and would have liked a bonus attached to this experiment since it involves a lot of thinking. ,No,Yes,2,281d63d691e83e71996e5bfdd245c3a4
English,2,Yes,30,Male,3,,No,3,2,eb958f2114587113c4bd52982de65c5a
English,1,Yes,61,Female,2,,No,yes,2,fa75a54fcd386de645f3d4380751999f
English,2,Yes,58,Female,3,It was interesting.,No.,Yes.,2,a11a3a0e69391497bd78799941be3708
English,0,Yes,39,Male,1,I'm sure this can be done faster by people who are more creative but it was a real struggle for me,,4.00,2,6bd99aaf7e83fab4722b2e64e63a641c
English,1,Yes,37,Male,3,,,3.25,2,0cafcc751e8f07bdbfcfb0670fdbbff0
English,2,Yes,39,Female,4,This was very interesting.,no,3.00,2,622e60a6177f87df7fcca0805f5e1133
English,2,Yes,24,Female,2,No comments.,No,3.00,2,7979631232b683b733f7f4292e89a7c7
English,2,No,31,Female,3,none,none,4,2,1b0ebd82361794ea6911670730081a8c
English,2,Yes,42,Male,3,,None,3.00,2,c550237eb4ad65a549788f3486242ba2
